Brand,Price,Address,image_link-src
Ford Focus 2012,3.500.000 ,Derklé,media/annonces/pics/b6d824272a9c97c07618754d508d6c5d.jpeg
Hyundai Sonata Limited 2016,6.650.000 ,Dakar,media/annonces/pics/29baafb2c473c0d494355eafd718b0ef.jpeg
Jeep compass,2.950.000 ,Colobane,media/annonces/pics/0e3e77dc1dc0627f6b5aa2924ce09650.jpeg
Peugeot 308,3.950.000 ,Dakar,media/annonces/pics/daa2272d814584847bed6384694402d3.jpeg
Hyundai Elantra,3.950.000 ,Dakar,media/annonces/pics/9c83692e28249b1a3d28aa458bc1c719.jpeg
Scooter Versa,500.000 ,Pikine,media/annonces/pics/251ba691b187059c34d99529734a3cb6.jpeg
FORD EDGE LIMITED 2013,4.500.000 ,Plateau,media/annonces/pics/f89326463530aa34ecc4751e4f68ffce.jpeg
Location  Ford ExplorerLogements de qualité à louer,40.000 ,Sacré Coeur,media/annonces/pics/870c6dfdab400764231845753e8f976f.jpg
FORD ESCAPE 2011,2.750.000 ,Liberté 6,media/annonces/pics/0618424cb55dc7273ad6bb8ede13b0de.jpeg
Ford F150,18.000.000 ,Cité Batrain,media/annonces/pics/f332961e6957e038e67afdd09265e880.jpeg
Mbk Rocket 80cc,275.000 ,Dakar,media/annonces/pics/909215e72436a78e3c9b8b178f2ea85f.jpeg
Ford Focus,2.750.000 ,Parcelles assainies,media/annonces/pics/22b8f201cb5f54eb6b84a3cd60b230e8.jpeg
Nissan Sentra,3.000.000 ,Parcelles assainies,media/annonces/pics/b4a63f47b93ffb0fcee994de34860e0f.jpeg
CITROËN C5,1.700.000 ,Dakar,media/annonces/pics/19158b88d78bf47d459814340accb9f0.jpg
CHEVROLET EQUINOX 2012,3.600.000 ,Plateau,media/annonces/pics/bc707ac335e63789eeb51095afce5f5a.jpeg
KIA OPTIMA 2014 Full Options,4.900.000 ,Dakar,media/annonces/pics/0b48d5113b365ed146c7d115069db5c3.jpeg
FORD SCAPE SE,11.000.000 ,Point E,media/annonces/pics/469566d1dffde91c332883823796be45.jpg
CHEVROLET CRUZE 2014,7.000.000 ,Point E,media/annonces/pics/c9267c87ab5c385a6f6d7b88ce7d9939.jpg
CHEVROLET CRUZE 2010,4.500.000 ,Dakar,media/annonces/pics/40c737533fd25ffd154bdf6e3cde24ae.jpg
JEEP GRAND CHEROKEE 2015,14.000.000 ,Point E,media/annonces/pics/2866785fecf37e632090fef29c09ae9b.jpg
Mercedes GLE 400 4matic,60.000.000 ,Point E,media/annonces/pics/5354d7f8fb64b86b5f15813f7857a244.jpg
PEUGEOT 308 SW 2013,5.000.000 ,Point E,media/annonces/pics/96cf1cbf7a9f4b80fb9daab6c65a2c9f.jpg
BMW Serie 3 en très bon état,6.000.000 ,Ouakam,media/annonces/pics/975727ce7d43622dee95b12fc51c6b07.jpg
Peugeot 308 breack,2.750.000 ,Fass,media/annonces/pics/fb9aae0fd3356bdefa79f0205079e22c.jpeg
Scooter X9 Foresight,600.000 ,Amitié,media/annonces/pics/fef89f3a494ca48ffb87e9986366f8e4.jpg
Peugeot 207 Break 2012,3.150.000 ,Mbao,media/annonces/pics/7f82d5e0fc3448f2e9ae2d44af820fde.jpeg
Ford edge,10.300.000 ,HLM,media/annonces/pics/4db002fc7ea5c02ca9a4ed18316ad1e7.jpeg
Golf Jetta,2.500.000 ,Colobane,media/annonces/pics/969c411853ab5c8b4093d54716282b8d.jpeg
TOYOTA LAND CRUISER GXR-V6,33.500.000 ,Point E,media/annonces/pics/5399dcedfdd60b2830d683bc2f7499b1.jpg
Mitsubishi 2006,5.500.000 ,Point E,media/annonces/pics/9b36e93ab2d75c42193584ea25ca88f2.jpg
KIA SPORTAGE 2010,4.500.000 ,Point E,media/annonces/pics/725e82bfc7a6dbe66108428a3de44170.jpg
PEUGEOT 5008,5.500.000 ,Point E,media/annonces/pics/4c74e68990ecc863f47b6358c76ede3a.png
Peugeot 308,2.850.000 ,Colobane,media/annonces/pics/e89bc69f90e54f6a307ec2294b519b38.jpeg
CHRYSLER 300 2014,4.500.000 ,Dakar,media/annonces/pics/0524cf667e46a399da0099206bb684df.jpg
IMPORTATEUR DE VEHICULES DU CANADA ET ETATS-UNIS,100.000 ,Dakar,img/nophoto.png
FORD ESCAPE TITANIUM 2013,6.750.000 ,Castors,media/annonces/pics/fc99cc656ddbb46b986aa9fa4c716a0e.jpeg
FORD FOCUS SEL 2013,3.350.000 ,Dakar,media/annonces/pics/eb5c11e60b467cd7852bb208a97b98aa.jpeg
Hyundai Santa Fe 2014,7.800.000 ,Dakar,media/annonces/pics/58ff3d3d0798424f41f47621caaf7b74.jpeg
FORD ESCAPE TITANIUM 2015,5.650.000 ,Plateau,media/annonces/pics/2cb53b7099001217d7d345915362bbba.jpeg
FORD FIESTA 2012,3.150.000 ,Dakar,media/annonces/pics/efed0bc257ebe56fbf2f6bca084d084b.jpeg
CHEVROLET CAMARO 2014,9.800.000 ,Parcelles assainies,media/annonces/pics/e890618bfea9a6f8b7d7d7585ba0fe2e.jpeg
Hyundai Tucson,8.500.000 ,Point E,media/annonces/pics/465705901873971fa8585dff749fdb95.jpg
Vespa Primavera 4t50,420.000 ,Dakar,media/annonces/pics/e864653a4136821c30d03e6189c407fc.jpeg
Kia Rondo 2015,5.400.000 ,Plateau,media/annonces/pics/eef5cd17f61c8c1c6c82f0a7ad6e688e.jpeg
Peugeot 307 SW 2008,2.900.000 ,Dakar,media/annonces/pics/d3afc355f372f373f7418e586c1c856f.jpeg
RANGE ROVER EVOQUE 2016 VENANT,14.900.000 ,HLM,media/annonces/pics/ac7eaabbcd43f8fc3c7e479289ccb251.jpeg
CHEVROLET ÉQUINOXE ANNÉE 2013,4.800.000 ,Point E,media/annonces/pics/401ab2de141369452742abd88290c8a5.jpg
Hyundai Tucson,2.008 ,Point E,media/annonces/pics/1bf89aaa630698ee67044ddd3b1ea040.jpg
Ford Escape 2012,8.000.000 ,Point E,media/annonces/pics/d8f7a2169829faeb43702ddfc1d52a00.jpg
Toyota Verso 2018,6.000.000 ,Point E,media/annonces/pics/03c5a05ab7e02ae9024906e14d788714.jpg
HYUNDAI TUCSON,150.000 ,Guédiawaye,media/annonces/pics/df5f94fbe23c848908581ae78818d228.jpg
HYUNDAI TUCSON ANNÉE 2013,5.900.000 ,Point E,media/annonces/pics/9a0df125ba8514ce9ddad899524934a2.jpg
HYUNDAI TUCSON ANNÉE 2013,6.900.000 ,Point E,media/annonces/pics/1cc731eb9522316b14b70585b2f73188.jpg
BMW x6,18.000.000 ,Point E,media/annonces/pics/9d1786731d1ea2ff6121b21660962209.jpg
Peugeot 308,6.000.000 ,Point E,media/annonces/pics/6a7ec9a7bd504ccdff17220483bb0e95.jpg
