web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,Brand,Price,Adress,image_link-src
"1732655128-71","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location Pick up Mitsubishi","https://www.dakarvente.com/annonce-19234-location-pick-up-mitsubishi.html","Location  Pick up MitsubishiLogements de qualité à louer","40.000  FCFA","Bene Tally","media/annonces/pics/1818d97b6962c74c4eaaddf709eb861b.jpg"
"1732655132-72","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location Ford focus","https://www.dakarvente.com/annonce-19395-location-ford-focus.html","Location Ford focus","30.000  FCFA","Dakar","media/annonces/pics/c493dd93c7f53a76e2a3e56bad829219.jpg"
"1732655137-73","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","LOCATION HYUNDAI ELANTRA","https://www.dakarvente.com/annonce-19396-location-hyundai-elantra.html","LOCATION HYUNDAI ELANTRA","30.000  FCFA","Point E","media/annonces/pics/50d2bee78f4c77d36a04517dc80219cc.jpg"
"1732655141-74","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","LOCATION RANGE ROVER","https://www.dakarvente.com/annonce-19397-location-range-rover.html","LOCATION RANGE ROVER","200.000  FCFA","Dakar","media/annonces/pics/d2f68c5ce9ff77083e93f3ee4f43166d.jpg"
"1732655145-75","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location et vente","https://www.dakarvente.com/annonce-19701-location-et-vente.html","Location et vente","35.000  FCFA","Médina","media/annonces/pics/7ba627de8acfe9e8fad90f411e8ed774.jpeg"
"1732655149-76","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location et vente","https://www.dakarvente.com/annonce-19702-location-et-vente.html","Location et vente","45.000  FCFA","Médina","media/annonces/pics/126a7dc71debd07af529a3354c154a90.jpeg"
"1732655156-77","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voiture","https://www.dakarvente.com/annonce-19897-location-de-voiture.html","Location de voiture","35.000  FCFA","Grand Yoff","media/annonces/pics/79b25abee738962c77138066c0f7b87a.jpeg"
"1732655160-78","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Véhicule à louer","https://www.dakarvente.com/annonce-20208-vhicule-louer.html","Véhicule à louer","15.000  FCFA","Ouakam","media/annonces/pics/42331c1a4d3c5afb1e9d14a4f349dbfa.jpg"
"1732655165-79","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Kia Picanto à louer avec chauffeur","https://www.dakarvente.com/annonce-20803-kia-picanto-louer-avec-chauffeur.html","Kia Picanto à louer avec chauffeur","25.000  FCFA","HLM","media/annonces/pics/04cdd142930b7a180654754c47a045b3.jpg"
"1732655169-80","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location PEUGEOT PARTENAIRE","https://www.dakarvente.com/annonce-21044-location-peugeot-partenaire.html","Location PEUGEOT PARTENAIRE","25.000  FCFA","Ouakam","media/annonces/pics/1a438c0ac81b0d1436d411691160cc7c.jpg"
